ResultType,Strategy,CommonStart,CommonEnd,Observations,MomentumLookback,TransactionCostBps,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaximumDrawdown,CalmarRatio,TradeCount,Entries,Exits,TotalTurnover,TimeInMarket
SensitivityOnly,Buy & Hold,2017-08-01,2026-07-10,2247,,0.0,4.0653494379668995,0.1995590074299438,0.2343903560512592,0.8939370263952262,-0.3561721824797639,0.5602880214860179,1,1,0,1.0,1.0
SensitivityOnly,Buy & Hold,2017-08-01,2026-07-10,2247,,5.0,4.0628225850830955,0.19949188219384628,0.2343900634232286,0.8936989054846871,-0.35617218247976423,0.5600995586037388,1,1,0,1.0,1.0
SensitivityOnly,Buy & Hold,2017-08-01,2026-07-10,2247,,10.0,4.060295732199263,0.19942472720622817,0.23438989041343178,0.8934603280119539,-0.3561721824797658,0.5599110121901716,1,1,0,1.0,1.0
SensitivityOnly,MA20/60 Trend,2017-08-01,2026-07-10,2247,,0.0,1.0592889874518,0.08438436775974179,0.16498626554687218,0.5739256576312898,-0.3361701484273646,0.25101683821273174,39,20,19,39.0,0.7205162438807299
SensitivityOnly,MA20/60 Trend,2017-08-01,2026-07-10,2247,,5.0,1.0195186950205022,0.08201531246483063,0.16499106159850485,0.5606542207199605,-0.33882356274270364,0.2420590581154816,39,20,19,39.0,0.7205162438807299
SensitivityOnly,MA20/60 Trend,2017-08-01,2026-07-10,2247,,10.0,0.9804971472297623,0.07965025140866655,0.16500237244121743,0.5473619429962658,-0.3414676921827744,0.23325852849947767,39,20,19,39.0,0.7205162438807299
SensitivityOnly,Momentum126,2017-08-01,2026-07-10,2247,126.0,0.0,2.454454992301934,0.1491560654480768,0.19464925346694573,0.812211151196449,-0.2855937209891133,0.522266613325727,11,6,5,11.0,0.8055184690698709
SensitivityOnly,Momentum126,2017-08-01,2026-07-10,2247,126.0,5.0,2.4355236632198944,0.14844805938286187,0.19464850063228537,0.8090453884641458,-0.2855937209891132,0.5197875459892226,11,6,5,11.0,0.8055184690698709
SensitivityOnly,Momentum126,2017-08-01,2026-07-10,2247,126.0,10.0,2.4166866980353245,0.14774013596904756,0.19464932519191747,0.8058730705767574,-0.28559372098911284,0.5173087680547416,11,6,5,11.0,0.8055184690698709
SensitivityOnly,Momentum252,2017-08-01,2026-07-10,2247,252.0,0.0,3.3814765836587775,0.18020496867471558,0.2117234125427878,0.888883613354557,-0.2855937209891133,0.6309836506580091,5,3,2,5.0,0.8709390298175345
SensitivityOnly,Momentum252,2017-08-01,2026-07-10,2247,252.0,5.0,3.370551400015664,0.17987456537331337,0.21172258997095536,0.8875628158846629,-0.28559372098911273,0.6298267509185556,5,3,2,5.0,0.8709390298175345
SensitivityOnly,Momentum252,2017-08-01,2026-07-10,2247,252.0,10.0,3.35964802070424,0.17954408957775936,0.21172242834370855,0.8862392415253775,-0.2855937209891133,0.6286695973424552,5,3,2,5.0,0.8709390298175345
